id,address,x,y,z,stay,timestamp,bs_address,sample_time,sample_batch
4093,03D2C30A,-0.923622007,-3.581010772,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:12",27
4094,03D2C30A,-0.831257448,-3.692581901,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:12",27
4095,03D2C30A,-0.739345856,-3.693069065,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:12",27
4096,03D2C30A,-0.739345856,-3.693069065,0.8,1,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4097,03D2C30A,-0.657510953,-3.693502819,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4098,03D2C30A,-0.604913748,-3.693781602,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4099,03D2C30A,-0.457856548,-3.694561057,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4100,03D2C30A,-0.437714092,-3.69466782,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4101,03D2C30A,-0.434818704,-3.694683166,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4102,03D2C30A,-0.318977464,-3.695297166,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4103,03D2C30A,-0.189858294,-3.695981543,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:13",27
4104,03D2C30A,-0.079384988,-3.69656709,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4105,03D2C30A,0.053538965,-3.697271634,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4106,03D2C30A,0.186910762,-3.697978552,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4107,03D2C30A,0.32658103,-3.698718854,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4108,03D2C30A,0.430740495,-3.699270936,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4109,03D2C30A,0.524985679,-3.699770469,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4110,03D2C30A,0.592258311,-3.700127037,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:14",27
4111,03D2C30A,0.647331571,-3.700418945,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4112,03D2C30A,0.68998834,-3.700645041,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4113,03D2C30A,0.712665817,-3.70076524,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4114,03D2C30A,0.718703226,-3.70079724,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4115,03D2C30A,0.725071184,-3.700830992,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4116,03D2C30A,0.723756903,-3.700824026,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4117,03D2C30A,0.718709348,-3.700797272,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4118,03D2C30A,0.703898371,-3.700718769,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:15",27
4119,03D2C30A,0.815846927,-3.701312136,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4120,03D2C30A,0.922463455,-3.701877241,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4121,03D2C30A,1.021762742,-3.702403562,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4122,03D2C30A,1.122107636,-3.702935426,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4123,03D2C30A,1.242849041,-3.703575398,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4124,03D2C30A,1.242849041,-3.703575398,0.8,1,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4125,03D2C30A,1.355501308,-3.704172495,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
4126,03D2C30A,1.467576749,-3.704766534,0.8,0,1.66658E+12,1370022,"2022-10-24,11:43:16",27
